url,bucket,confidence,evidence,suggested_action
https://floridahomecosts.com/interior/cost-to-replace-drywall-florida-2026/,B,STRONG,"slug match (score=0.89, topic=drywall): site-template/content/interior/cost-to-repair-drywall-in-florida-2026.md",301 redirect to /interior/cost-to-repair-drywall-in-florida-2026/
https://floridahomecosts.com/interior/cost-to-paint-exterior-house-florida-2026/,A,WEAK,"WEAK match (score=0.79, topic=exterior): site-template/content/general/cost-to-paint-house-exterior-florida-2026.md",REVIEW 301 to /general/cost-to-paint-house-exterior-florida-2026/ (weak — verify intent matches)
https://floridahomecosts.com/electrical/cost-to-install-smart-thermostat-miami-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/electrical/cost-to-install-ceiling-lights-miami-2026/,B,WEAK,"WEAK match (score=0.83, topic=ceiling): site-template/content/electrical/cost-to-install-ceiling-fan-in-miami-2026.md",REVIEW 301 to /electrical/cost-to-install-ceiling-fan-in-miami-2026/ (weak — verify intent matches)
https://floridahomecosts.com/plumbing/cost-to-fix-slab-leak-miami-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/electrical/cost-to-install-smart-home-wiring-florida-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/interior/cost-to-install-impact-windows-miami-2026/,A,STRONG,"slug match (score=0.89, topic=impact,windows): site-template/content/hurricane-protection/cost-to-install-impact-windows-in-tampa-2026.md",301 redirect to /hurricane-protection/cost-to-install-impact-windows-in-tampa-2026/
https://floridahomecosts.com/electrical/cost-to-install-impact-windows-orlando-2026/,A,WEAK,"WEAK match (score=0.87, topic=impact,windows): site-template/content/hurricane-protection/cost-to-install-impact-windows-in-florida-2026.md",REVIEW 301 to /hurricane-protection/cost-to-install-impact-windows-in-florida-2026/ (weak — verify intent matches)
https://floridahomecosts.com/electrical/cost-to-install-surge-protectors-florida-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/pool/cost-to-repair-pool-coping-sarasota-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
