source_file,total_broken,rewrite_count,strip_count,flag_count,actionable_pct
major-systems/cost-to-install-solar-panels-tampa-2026.md,4,0,4,0,100%
plumbing/cost-to-install-water-softener-in-florida-2026.md,4,0,4,0,100%
pool/cost-to-install-pool-cage-naples-2026.md,4,0,3,1,75%
pool/cost-to-replace-pool-pump-in-fort-lauderdale-2026.md,4,2,2,0,100%
electrical/cost-to-install-ceiling-fan-in-florida-2026.md,3,0,3,0,100%
electrical/cost-to-install-ceiling-fan-in-fort-lauderdale-2026.md,3,0,3,0,100%
electrical/cost-to-install-ceiling-fan-in-miami-2026.md,3,0,3,0,100%
electrical/cost-to-install-ev-charger-in-miami-2026.md,3,1,1,1,67%
electrical/cost-to-install-recessed-lighting-in-florida-2026.md,3,2,1,0,100%
electrical/cost-to-install-recessed-lighting-in-miami-2026.md,3,1,2,0,100%
electrical/cost-to-install-whole-house-generator-in-fort-lauderdale-2026.md,3,0,3,0,100%
electrical/cost-to-install-whole-house-generator-in-miami-2026.md,3,2,0,1,67%
electrical/cost-to-upgrade-electrical-panel-in-florida-2026.md,3,1,2,0,100%
electrical/cost-to-upgrade-electrical-panel-in-fort-lauderdale-2026.md,3,2,1,0,100%
electrical/cost-to-upgrade-electrical-panel-in-tampa-2026.md,3,1,2,0,100%
exterior/cost-of-pressure-washing-in-fort-lauderdale-2026.md,3,2,1,0,100%
exterior/cost-of-pressure-washing-in-miami-2026.md,3,1,2,0,100%
exterior/cost-of-pressure-washing-in-orlando-2026.md,3,0,2,1,67%
exterior/cost-of-tree-removal-in-florida-2026.md,3,2,1,0,100%
exterior/cost-of-tree-removal-in-jacksonville-2026.md,3,0,2,1,67%
exterior/cost-to-build-patio-in-fort-lauderdale-2026.md,3,1,2,0,100%
exterior/cost-to-build-patio-in-miami-2026.md,3,0,3,0,100%
exterior/cost-to-build-patio-in-tampa-2026.md,3,0,3,0,100%
exterior/cost-to-build-screen-enclosure-in-florida-2026.md,3,2,1,0,100%
exterior/cost-to-build-screen-enclosure-in-miami-2026.md,3,1,1,1,67%
exterior/cost-to-build-screen-enclosure-in-orlando-2026.md,3,0,2,1,67%
exterior/cost-to-install-fence-in-florida-2026.md,3,1,2,0,100%
exterior/cost-to-install-fence-in-miami-2026.md,3,0,2,1,67%
exterior/cost-to-install-gutter-in-florida-2026.md,3,0,3,0,100%
