source_file,line_number,link_text,target_url,best_match_url,topic_jaccard,slug_sim,anchor_sim,reason
electrical/cost-to-install-ev-charger-in-miami-2026.md,171,Cost to Install Impact Windows in Miami 2026,/hurricane-protection/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
electrical/cost-to-install-ev-charger-in-orlando-2026.md,167,Cost to Install Impact Windows in Orlando,/electrical/cost-to-install-impact-windows-orlando-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.88,1.00,topic+slug match but city mismatch: target=orlando cand=tampa
electrical/cost-to-install-whole-house-generator-in-miami-2026.md,171,Cost to Install Impact Windows in Miami,/hurricane-protection/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
exterior/cost-of-pressure-washing-in-orlando-2026.md,166,Cost to Install Impact Windows in Orlando,/hurricane-protection/cost-to-install-impact-windows-orlando-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.88,1.00,topic+slug match but city mismatch: target=orlando cand=tampa
exterior/cost-of-tree-removal-in-jacksonville-2026.md,170,Cost to Install Impact Windows in Jacksonville,/hurricane-protection/cost-to-install-impact-windows-jacksonville-2026/,/hurricane-protection/cost-to-install-impact-windows-in-davie-2026/,1.00,0.87,1.00,topic+slug match but city mismatch: target=jacksonville cand=davie
exterior/cost-to-build-screen-enclosure-in-miami-2026.md,169,Cost to Install Impact Windows in Miami,/exterior/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
exterior/cost-to-build-screen-enclosure-in-orlando-2026.md,171,Cost to Install Impact Windows in Orlando,/exterior/cost-to-install-impact-windows-orlando-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.88,1.00,topic+slug match but city mismatch: target=orlando cand=tampa
exterior/cost-to-install-fence-in-miami-2026.md,179,Cost to Install Impact Windows in Miami 2026,/hurricane-protection/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
exterior/cost-to-install-fence-in-orlando-2026.md,166,Cost to Install Impact Windows in Orlando 2026,/hurricane-protection/cost-to-install-impact-windows-in-orlando-2026/,/hurricane-protection/cost-to-install-impact-windows-in-florida-2026/,1.00,0.91,1.00,topic+slug match but city mismatch: target=orlando cand=florida
exterior/cost-to-install-gutter-in-miami-2026.md,172,Cost to Install Impact Windows in Miami,/hurricane-protection/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
exterior/cost-to-install-landscape-lighting-in-miami-2026.md,169,Cost to Install Impact Windows in Miami,/exterior/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
exterior/cost-to-paint-house-exterior-in-miami-2026.md,163,Cost to Install Impact Windows in Miami,/hurricane-protection/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
exterior/cost-to-pave-driveway-in-miami-2026.md,171,Cost to Install Impact Windows in Miami,/hurricane-protection/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
exterior/cost-to-repair-seawall-in-miami-2026.md,171,Cost to Install Impact Windows in Miami,/hurricane-protection/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
exterior/cost-to-repair-soffit-and-fascia-in-miami-2026.md,168,Cost to Install Impact Windows in Miami,/exterior/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
general/cost-to-repair-roof-in-orlando-2026.md,164,Cost to Install Impact Windows in Orlando,/hurricane-protection/cost-to-install-impact-windows-in-orlando-2026/,/hurricane-protection/cost-to-install-impact-windows-in-florida-2026/,1.00,0.91,1.00,topic+slug match but city mismatch: target=orlando cand=florida
general/cost-to-replace-roof-in-miami-2026.md,169,Cost to Install Impact Windows in Miami,/hurricane-protection/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
general/cost-to-replace-roof-in-orlando-2026.md,170,Cost to Install Impact Windows in Orlando,/hurricane-protection/cost-to-install-impact-windows-orlando-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.88,1.00,topic+slug match but city mismatch: target=orlando cand=tampa
hurricane-protection/cost-to-install-hurricane-garage-door-in-jacksonville-2026.md,163,Cost to Install Impact Windows in Jacksonville,/hurricane-protection/cost-to-install-impact-windows-jacksonville-2026/,/hurricane-protection/cost-to-install-impact-windows-in-davie-2026/,1.00,0.87,1.00,topic+slug match but city mismatch: target=jacksonville cand=davie
hurricane-protection/cost-to-install-hurricane-garage-door-in-miami-2026.md,171,Cost to Install Impact Windows in Miami 2026,/hurricane-protection/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
hurricane-protection/cost-to-install-hurricane-shutters-in-key-west-2026.md,169,Cost to Install Impact Windows in Key West,/hurricane-protection/cost-to-install-impact-windows-key-west-2026/,/hurricane-protection/cost-to-install-impact-windows-in-weston-2026/,1.00,0.92,1.00,topic+slug match but city mismatch: target=key-west cand=weston
hurricane-protection/cost-to-install-hurricane-shutters-in-miami-2026.md,171,Cost to Install Impact Windows in Miami,/hurricane-protection/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
hurricane-protection/cost-to-install-hurricane-shutters-in-orlando-2026.md,169,Cost to Install Impact Windows in Orlando,/hurricane-protection/cost-to-install-impact-windows-orlando-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.88,1.00,topic+slug match but city mismatch: target=orlando cand=tampa
hurricane-protection/cost-to-install-impact-windows-in-broward-county-2026.md,170,Cost to Install Impact Windows in Miami,/hurricane-protection/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
hurricane-protection/cost-to-install-impact-windows-in-homestead-2026.md,169,Cost to Install Impact Windows in Miami,/hurricane-protection/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
hurricane-protection/cost-to-install-impact-windows-in-plantation-2026.md,166,Cost to Install Hurricane Shutters in Plantation,/hurricane-protection/cost-to-install-hurricane-shutters-plantation-2026/,/hurricane-protection/cost-to-install-hurricane-shutters-in-orlando-2026/,1.00,0.88,1.00,topic+slug match but city mismatch: target=plantation cand=orlando
hurricane-protection/cost-to-install-roof-straps-in-miami-2026.md,163,Cost to Install Impact Windows in Miami,/hurricane-protection/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
hurricane-protection/cost-to-install-roof-straps-in-palm-beach-2026.md,182,Cost to Install Hurricane Shutters Palm Beach,/hurricane-protection/cost-to-install-hurricane-shutters-palm-beach-2026/,/hurricane-protection/cost-to-install-hurricane-shutters-in-miami-2026/,1.00,0.86,1.00,topic+slug match but city mismatch: target=palm-beach cand=miami
hurricane-protection/cost-to-install-storm-panels-in-miami-2026.md,169,Cost to Install Impact Windows in Miami,/hurricane-protection/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
hurricane-protection/cost-to-install-storm-panels-in-sarasota-2026.md,163,Cost to Install Impact Windows in Sarasota,/hurricane-protection/cost-to-install-impact-windows-sarasota-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.89,1.00,topic+slug match but city mismatch: target=sarasota cand=tampa
hvac/cost-of-duct-cleaning-in-tampa-2026.md,165,Cost to Replace AC Unit in Tampa 2026,/hvac/cost-to-replace-ac-unit-tampa-2026/,/hvac/cost-to-replace-ac-in-tampa-2026/,0.50,0.94,0.50,slug nearly-identical 0.94; anchor=0.50 (likely city/year/word mismatch — review)
hvac/cost-to-clean-ac-coils-in-tampa-2026.md,167,Cost to Replace AC Unit in Tampa 2026,/hvac/cost-to-replace-ac-unit-tampa-2026/,/hvac/cost-to-replace-ac-in-tampa-2026/,0.50,0.94,0.50,slug nearly-identical 0.94; anchor=0.50 (likely city/year/word mismatch — review)
hvac/cost-to-clean-air-ducts-in-florida-2026.md,163,Cost to Replace AC Unit in Florida 2026,/hvac/cost-to-replace-ac-unit-florida-2026/,/hvac/cost-to-replace-ac-in-florida-2026/,0.50,0.94,0.50,slug nearly-identical 0.94; anchor=0.50 (likely city/year/word mismatch — review)
hvac/cost-to-install-mini-split-in-fort-lauderdale-2026.md,174,Cost to Replace AC Unit Florida,/hvac/cost-to-replace-ac-unit-florida-2026/,/hvac/cost-to-replace-ac-in-florida-2026/,0.50,0.94,0.50,slug nearly-identical 0.94; anchor=0.50 (likely city/year/word mismatch — review)
hvac/cost-to-install-mini-split-in-miami-2026.md,157,Cost to Install Impact Windows in Miami 2026,/hurricane-protection/cost-to-install-impact-windows-miami-2026/,/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,1.00,0.93,1.00,topic+slug match but city mismatch: target=miami cand=tampa
hvac/cost-to-replace-ductwork-in-florida-2026.md,179,Cost to Replace AC Unit in Florida 2026,/hvac/cost-to-replace-ac-unit-in-florida-2026/,/hvac/cost-to-replace-ac-in-florida-2026/,0.50,0.93,0.50,slug nearly-identical 0.93; anchor=0.50 (likely city/year/word mismatch — review)
hvac/cost-to-replace-ductwork-in-fort-lauderdale-2026.md,166,Cost to Replace Air Conditioner Fort Lauderdale,/hvac/cost-to-replace-ac-fort-lauderdale-2026/,/hvac/cost-to-replace-ac-in-fort-lauderdale-2026/,1.00,0.96,0.00,slug nearly-identical 0.96; anchor=0.00 (likely city/year/word mismatch — review)
